label1,name1,label2,name2,label3,name3,label4,name4,label5,name5
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,General Victim,BBCB_TS_VR_GeneralVictim,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Discrimination Victim,BBCB_TS_VR_DiscriminationVictim,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Missing Person Victim,BBCB_TS_VR_MissingPersonVictim,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Harassment victim,BBCB_TS_VR_HarassmentVictim,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Fraud Victim,BBCB_TS_VR_FraudVictim,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Dating,BBCB_TS_VR_Dating,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Victim Report,BBCB_TS_VictimReport,Bad Experience,BBCB_TS_VR_BadExperience,,
BlaBlaCar Bus,BlaBlaCarBus,Trust & Safety,BBCB_TrustSafety,Data,BBCB_TS_Data,,,,
BlaBlaCar,BlaBlaCar,,,,,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,,,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,General,BBC_TI_General,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,Mobile apps,BBC_TI_MobileApps,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,Payment,BBC_TI_Payment,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,Payout,BBC_TI_Payout,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,Publication,BBC_TI_Publication,,,,
BlaBlaCar,BlaBlaCar,Technical Issue,BBC_TechnicalIssue,Signup/Login/Password,BBC_TI_SignupLoginPassword,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,,,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Basics,BBC_G_Basics,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Company,BBC_G_Company,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,DRVR-PSGR Communication,BBC_G_DRVRPSGRCommunication,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Feedback,BBC_G_Feedback,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Feedback,BBC_G_Feedback,DSA,BBC_G_F_DSA,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Howtank,BBC_G_Howtank,,,,
BlaBlaCar,BlaBlaCar,General,BBC_General,Moderation,BBC_G_Moderation,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,,,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Insurance,BBC_TS_Insurance,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Police request,BBC_TS_PoliceRequest,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Reassure,BBC_TS_Reassure,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,General Suspect,BBC_TS_SB_GeneralSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Dating Suspect,BBC_TS_SB_DatingSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Dangerous Driver Suspect,BBC_TS_SB_DangerousDriverSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Dangerous Driver Suspect,BBC_TS_SB_DangerousDriverSuspect,Transfer Blocked,BBC_TS_SB_DDS_TransferBlocked
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Alcohol/Drugs Suspect,BBC_TS_SB_AlcoholDrugsSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Pre Payment Suspect,BBC_TS_SB_PrePaymentSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Fraud Suspect,BBC_TS_SB_FraudSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Discrimination Suspect,BBC_TS_SB_DiscriminationSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Minor,BBC_TS_SB_Minor,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,PSGR Non payment suspect,BBC_TS_SB_PSGRNonPaymentSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Unreliability Suspect,BBC_TS_SB_UnreliabilitySuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Aggression Suspect,BBC_TS_SB_AggressionSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Block,BBC_TS_SuspectBlock,Business Suspect,BBC_TS_SB_BusinessSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Unblock,BBC_TS_SuspectUnblock,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Unblock,BBC_TS_SuspectUnblock,Business Suspect,BBC_TS_SU_BusinessSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Discrimination Suspect,BBC_TS_SW_DiscriminationSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Fraud Suspect,BBC_TS_SW_FraudSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Dangerous Driver Suspect,BBC_TS_SW_DangerousDriverSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Lent Profile Suspect,BBC_TS_SW_LentProfileSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Unreliability Suspect,BBC_TS_SW_UnreliabilitySuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Harassment/Insults Suspect,BBC_TS_SW_HarassmentInsultsSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Suspect Warning,BBC_TS_SuspectWarning,Business Suspect,BBC_TS_SW_BusinessSuspect,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,,,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,General Victim,BBC_TS_VR_GeneralVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Pre Payment victim,BBC_TS_VR_PrePaymentVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Fraud Victim,BBC_TS_VR_FraudVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Dating Victim,BBC_TS_VR_DatingVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,DRVR Non payment victim,BBC_TS_VR_DRVRNonPaymentVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Dangerous Driver Victim,BBC_TS_VR_DangerousDriverVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Fake Booking Victim,BBC_TS_VR_FakeBookingVictim,,
BlaBlaCar,BlaBlaCar,Trust & Safety,BBC_TrustSafety,Victim Report,BBC_TS_VictimReport,Fake Booking Victim,BBC_TS_VR_FakeBookingVictim,Discrimination,BBC_TS_VR_FBV_Discrimination
